source,layer,lat,lon,name,addendum_json_vh,addendum_json_georg
swe-virtual-herbarium,socken,60.40274,17.047620000000002,Hedesunda,"{""District"":""Hedesunda"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Gävle"",""Latitude"":60.40274,""Longitude"":17.04762,""Continent"":""Europe"",""ID"":16744,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":18450,""RT90centrE"":1568486,""RT90centrN"":6698960,""Code"":""SE-2180""}","{""coordinateUncertaintyInMeters"":18450,""locationDisplayLabel"":""Hedesunda""}"
swe-virtual-herbarium,socken,60.79834,17.198529999999998,Hille,"{""District"":""Hille"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Gävle"",""Latitude"":60.79834,""Longitude"":17.19853,""Continent"":""Europe"",""ID"":16745,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":15834,""RT90centrE"":1575870,""RT90centrN"":6743198,""Code"":""SE-2180""}","{""coordinateUncertaintyInMeters"":15834,""locationDisplayLabel"":""Hille""}"
swe-virtual-herbarium,socken,60.74129,16.59596,Järbo,"{""District"":""Järbo"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Sandviken"",""Latitude"":60.74129,""Longitude"":16.59596,""Continent"":""Europe"",""ID"":16746,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":12510,""RT90centrE"":1543138,""RT90centrN"":6736296,""Code"":""SE-2181""}","{""coordinateUncertaintyInMeters"":12510,""locationDisplayLabel"":""Järbo""}"
swe-virtual-herbarium,socken,60.91556,16.56835,Ockelbo,"{""District"":""Ockelbo"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Ockelbo"",""Latitude"":60.91556,""Longitude"":16.56835,""Continent"":""Europe"",""ID"":16747,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":25189,""RT90centrE"":1541408,""RT90centrN"":6755696,""Code"":""SE-2101""}","{""coordinateUncertaintyInMeters"":25189,""locationDisplayLabel"":""Ockelbo""}"
swe-virtual-herbarium,socken,60.63765,16.508589999999998,Ovansjö,"{""District"":""Ovansjö"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Sandviken"",""Latitude"":60.63765,""Longitude"":16.50859,""Continent"":""Europe"",""ID"":16748,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":18677,""RT90centrE"":1538497,""RT90centrN"":6724694,""Code"":""SE-2181""}","{""coordinateUncertaintyInMeters"":18677,""locationDisplayLabel"":""Ovansjö""}"
swe-virtual-herbarium,socken,60.67494,16.79271,Sandviken,"{""District"":""Sandviken"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Sandviken"",""Latitude"":60.67494,""Longitude"":16.79271,""Continent"":""Europe"",""ID"":16749,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":11957,""RT90centrE"":1553981,""RT90centrN"":6729049,""Code"":""SE-2181""}","{""coordinateUncertaintyInMeters"":11957,""locationDisplayLabel"":""Sandviken""}"
swe-virtual-herbarium,socken,60.402969999999996,17.2328,Söderfors,"{""District"":""Söderfors"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Uppsala län"",""Kommun"":""Tierp"",""Latitude"":60.40297,""Longitude"":17.2328,""Continent"":""Europe"",""ID"":16750,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":13002,""RT90centrE"":1581785,""RT90centrN"":6698048,""Code"":""SE-0360""}","{""coordinateUncertaintyInMeters"":13002,""locationDisplayLabel"":""Söderfors""}"
swe-virtual-herbarium,socken,60.4912,16.418789999999998,Torsåker,"{""District"":""Torsåker"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Hofors"",""Latitude"":60.4912,""Longitude"":16.41879,""Continent"":""Europe"",""ID"":16751,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":20399,""RT90centrE"":1533735,""RT90centrN"":6708327,""Code"":""SE-2104""}","{""coordinateUncertaintyInMeters"":20399,""locationDisplayLabel"":""Torsåker""}"
swe-virtual-herbarium,socken,60.621230000000004,17.01137,Valbo,"{""District"":""Valbo"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Gävle"",""Latitude"":60.62123,""Longitude"":17.01137,""Continent"":""Europe"",""ID"":16752,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":20305,""RT90centrE"":1566041,""RT90centrN"":6723264,""Code"":""SE-2180""}","{""coordinateUncertaintyInMeters"":20305,""locationDisplayLabel"":""Valbo""}"
swe-virtual-herbarium,socken,60.499230000000004,16.780820000000002,Årsunda,"{""District"":""Årsunda"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Sandviken"",""Latitude"":60.49923,""Longitude"":16.78082,""Continent"":""Europe"",""ID"":16753,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":13044,""RT90centrE"":1553621,""RT90centrN"":6709462,""Code"":""SE-2181""}","{""coordinateUncertaintyInMeters"":13044,""locationDisplayLabel"":""Årsunda""}"
swe-virtual-herbarium,socken,60.309709999999995,16.72949,Österfärnebo,"{""District"":""Österfärnebo"",""Province"":""Gästrikland"",""Country"":""Sweden"",""Län"":""Gävleborgs län"",""Kommun"":""Sandviken"",""Latitude"":60.30971,""Longitude"":16.72949,""Continent"":""Europe"",""ID"":16754,""xmax"":null,""xmin"":null,""ymax"":null,""ymin"":null,""precision"":13917,""RT90centrE"":1551097,""RT90centrN"":6688307,""Code"":""SE-2181""}","{""coordinateUncertaintyInMeters"":13917,""locationDisplayLabel"":""Österfärnebo""}"
